announcement_year,announcement_phase,complex_name,district,housing_type,supply_target,supply_type,cutline_rank,cutline_score,tie_breaker,tie_breaker_value,review_stage
2021.0,1차,디에이치포레센트 (일원대우),강남구,59,고령자,우선,1.0,5.0,전입일자,2006.04.17,서류
2021.0,1차,디에이치포레센트 (일원대우),강남구,59,신혼부부,우선,1.0,6.0,전입일자,2010.01.25,서류
2021.0,1차,디에이치포레센트 (일원대우),강남구,59,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,르엘대치 (대치제 2 지구),강남구,35,고령자,우선,1.0,3.0,전입일자,2018.02.01,서류
2021.0,1차,르엘대치 (대치제 2 지구),강남구,35,고령자,일반,,,추첨,,서류
2021.0,1차,르엘대치 (대치제 2 지구),강남구,43,신혼부부,우선,1.0,,,,서류
2021.0,1차,르엘대치 (대치제 2 지구),강남구,43,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,36,고령자,우선,1.0,3.0,전입일자,2017.11.27,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,36,고령자,일반,,,추첨,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,36,신혼부부,우선,2.0,6.0,,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,36,신혼부부,일반,,,전원합격,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,44,고령자,우선,2.0,3.0,,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,44,고령자,일반,,,전원합격,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,44,신혼부부,우선,1.0,2.0,,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,44,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,59,고령자,우선,1.0,5.0,전입일자,2020.03.20,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,59,고령자,일반,,,추첨,,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,59,신혼부부,우선,1.0,6.0,전입일자,2019.10.11,서류
2021.0,1차,보라매자이 (동작트인시아),동작구,59,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,39,고령자,우선,1.0,4.0,전입일자,1988.06.07,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,39,고령자,일반,,,추첨,,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,39,신혼부부,우선,,,전원합격,,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,39,신혼부부,일반,,,전원합격,,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,41,고령자,우선,1.0,6.0,전입일자,2010.08.30,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,41,고령자,일반,,,추첨,,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,41,신혼부부,우선,1.0,6.0,전입일자,2000.03.02,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,41,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,51,신혼부부,우선,1.0,6.0,전입일자,1991.05.13,서류
2021.0,1차,송파시그니처 롯데캐슬 (거여 2-1),송파구,51,신혼부부,일반,1.0,,추첨,,서류
2021.0,1차,e편한세상 청계센트럴포레,동대문구,59,고령자,우선,1.0,5.0,전입일자,2016.11.16,서류
2021.0,1차,e편한세상 청계센트럴포레,동대문구,59,고령자,일반,,,추첨,,서류
2021.0,1차,e편한세상 청계센트럴포레,동대문구,59,신혼부부계층,우선,1.0,6.0,전입일자,2015.12.03,서류
2021.0,1차,e편한세상 청계센트럴포레,동대문구,59,신혼부부계층,일반,1.0,,추첨,,서류
2021.0,1차,태릉 해링턴플레이스,노원구,49,고령자,우선,1.0,6.0,전입일자,2006.01.19,서류
2021.0,1차,태릉 해링턴플레이스,노원구,49,고령자,일반,,,추첨,,서류
2021.0,1차,태릉 해링턴플레이스,노원구,49,신혼부부계층,우선,1.0,6.0,전입일자,2013.04.30,서류
2021.0,1차,태릉 해링턴플레이스,노원구,49,신혼부부계층,일반,1.0,,추첨,,서류
2021.0,1차,태릉 해링턴플레이스,노원구,59,고령자,우선,1.0,6.0,전입일자,2014.05.12,서류
2021.0,1차,태릉 해링턴플레이스,노원구,59,고령자,일반,,,추첨,,서류
2021.0,1차,태릉 해링턴플레이스,노원구,59,신혼부부계층,우선,1.0,6.0,전입일자,1995.01.25,서류
2021.0,1차,태릉 해링턴플레이스,노원구,59,신혼부부계층,일반,1.0,,추첨,,서류
2021.0,1차,YK서울대,관악구,12,대학생계층,우선,2.0,,추첨,,서류
2021.0,1차,YK서울대,관악구,12,대학생계층,일반,1.0,,추첨,,서류
2021.0,1차,YK서울대,관악구,27,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,YK서울대,관악구,27,청년계층,일반,1.0,,추첨,,서류
2021.0,1차,더헤르미온,관악구,10,대학생계층,우선,1.0,3.0,추첨,,서류
2021.0,1차,더헤르미온,관악구,10,대학생계층,일반,1.0,,추첨,,서류
2021.0,1차,더헤르미온,관악구,10,청년계층,우선,1.0,6.0,추첨,,서류
2021.0,1차,더헤르미온,관악구,10,청년계층,일반,1.0,,추첨,,서류
2021.0,1차,신길역 봉주르오피스텔,영등포구,14,대학생계층,우선,2.0,,추첨,,서류
2021.0,1차,신길역 봉주르오피스텔,영등포구,14,대학생계층,일반,1.0,,추첨,,서류
2021.0,1차,신길역 봉주르오피스텔,영등포구,14,청년계층,우선,1.0,6.0,추첨,,서류
