iter	RMSE
0	2.495275554
1	2.39126923
2	2.300882118
3	2.219809075
4	2.149315189
5	2.091812623
6	2.046217093
7	2.006317209
8	1.96395232
9	1.929058569
10	1.906470307
11	1.877847458
12	1.856507696
13	1.832470781
14	1.820535139
15	1.808156837
16	1.791075215
17	1.777359369
18	1.769972214
19	1.74685865
20	1.737211563
21	1.726805166
22	1.717535583
23	1.714485664
24	1.708517103
25	1.698928245
26	1.690624353
27	1.68907732
28	1.684205901
29	1.676290722
30	1.664425122
31	1.655810152
32	1.642035365
33	1.626574472
34	1.62535635
35	1.622000616
36	1.617392801
37	1.617372445
38	1.612470325
39	1.612469817
40	1.606702114
41	1.604533942
42	1.60079953
43	1.600654617
44	1.597735958
45	1.597587286
46	1.595430674
47	1.595202174
48	1.583409298
49	1.581390997
50	1.57489859
51	1.572962801
52	1.566378682
53	1.566378458
54	1.564350871
55	1.563455266
56	1.560462487
57	1.560380263
58	1.560380253
59	1.555974778
60	1.555304167
61	1.547314605
62	1.54640622
63	1.546404641
64	1.546246592
65	1.543963939
66	1.543688095
67	1.540052621
68	1.534619408
69	1.532805978
70	1.527730549
71	1.525173948
72	1.52316496
73	1.520578463
74	1.519095409
75	1.517820859
76	1.517820851
77	1.515628494
78	1.505418633
79	1.505312554
80	1.504743484
81	1.504060626
82	1.500154648
83	1.498824936
84	1.487883943
85	1.487630533
86	1.487471623
87	1.485929956
88	1.483507977
89	1.483290455
90	1.474869029
91	1.474390271
92	1.466796855
93	1.463387218
94	1.460290822
95	1.460078908
96	1.459885936
97	1.459670026
98	1.457438272
99	1.452137592
100	1.447184682
101	1.446985429
