iter	Passed	Remaining
0	32	3294
1	58	2976
2	111	3707
3	155	3837
4	186	3656
5	226	3666
6	270	3715
7	299	3553
8	343	3585
9	386	3590
10	429	3590
11	468	3554
12	509	3530
13	547	3478
14	568	3337
15	612	3328
16	654	3309
17	693	3273
18	738	3264
19	782	3248
20	822	3213
21	861	3172
22	904	3146
23	922	3036
24	971	3030
25	1016	3011
26	1069	3011
27	1116	2990
28	1171	2988
29	1222	2974
30	1280	2975
31	1326	2943
32	1368	2902
33	1411	2863
34	1448	2813
35	1485	2764
36	1527	2724
37	1551	2653
38	1597	2621
39	1616	2545
40	1662	2514
41	1712	2487
42	1758	2453
43	1778	2384
44	1818	2343
45	1856	2300
46	1897	2261
47	1950	2235
48	1996	2200
49	2041	2164
50	2097	2138
51	2139	2097
52	2182	2059
53	2201	1997
54	2240	1955
55	2277	1911
56	2324	1876
57	2351	1824
58	2368	1766
59	2410	1727
60	2451	1687
61	2496	1651
62	2540	1612
63	2555	1556
64	2582	1509
65	2628	1473
66	2674	1436
67	2712	1396
68	2760	1360
69	2807	1323
70	2847	1283
71	2886	1242
72	2931	1204
73	2970	1164
74	3012	1124
75	3053	1084
76	3069	1036
77	3109	996
78	3151	957
79	3196	919
80	3239	879
81	3283	840
82	3329	802
83	3374	763
84	3415	723
85	3458	683
86	3552	653
87	3651	622
88	3772	593
89	3823	552
90	3879	511
91	3926	469
92	3975	427
93	4021	385
94	4065	342
95	4112	299
96	4154	256
97	4198	214
98	4250	171
99	4301	129
100	4351	86
101	4423	43
