complex_name,gender,is_home_owner,is_married,school_location,is_graduate_student,is_graduated,is_priority1_eligible,income_percent,total_asset,car_value,has_car,is_parents_homeless,is_applicant_disabled,is_parents_disabled,is_recipient,is_single_parent_family,is_income_under50,subscription_count,rank,user_score,cutline,competition_rate,label
연남공공원룸텔,여성,False,False,서울,False,False,False,81.0,170328518,43270315,False,True,False,True,False,True,True,14,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,43.5,63066248,28549800,False,False,False,False,False,False,False,18,2,2,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,69.4,207487770,32161071,False,True,False,False,False,True,False,22,2,4,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,93.2,29969538,9111840,False,True,False,False,False,False,True,25,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,97.9,112341644,4070342,False,True,False,False,False,False,True,31,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,69.2,66019591,43716518,True,True,False,False,False,False,True,25,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,74.7,269462220,15298585,True,True,False,True,True,False,True,21,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,85.5,12022837,15507104,False,True,False,False,True,True,True,30,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,94.2,99210259,49751007,False,True,False,False,False,False,True,33,3,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,76.5,91803187,41706924,False,True,False,False,False,False,True,26,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,106.2,127903252,34923491,False,True,True,False,False,True,False,33,1,10,10,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,74.0,142916368,33350216,False,True,False,False,False,False,True,31,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,33.2,283278013,258923,False,True,False,True,False,False,True,24,2,9,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,67.4,82872600,19130549,False,False,True,False,True,True,False,20,1,10,10,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,113.8,129749147,7442795,False,True,False,False,False,False,False,15,1,4,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,True,52.1,242738469,50843689,False,True,False,False,False,False,True,24,1,5,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,79.9,239248214,37927090,False,True,False,False,False,False,True,27,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,51.7,35015508,1497968,False,False,False,False,False,True,True,5,2,3,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,37.2,281196119,17583319,True,True,False,True,False,True,True,22,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,71.1,161983110,32263092,False,True,False,False,False,False,True,31,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,97.7,143209833,5543818,False,True,False,False,False,False,True,25,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,92.7,263238831,26261065,True,True,False,False,False,False,False,29,1,5,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,99.7,13410831,21955146,False,True,True,False,True,False,True,12,2,9,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,22.5,41100510,33530850,False,False,True,False,False,False,True,36,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,78.9,259253070,28185806,True,False,False,False,False,False,False,1,1,0,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,76.3,114241338,3469860,False,True,False,False,False,False,True,29,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,20.3,115604191,9924351,False,True,False,False,False,False,True,9,2,6,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,50.7,203251067,23589147,False,True,True,False,True,False,True,33,2,10,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,110.4,214667849,24861969,False,False,True,False,False,False,True,0,1,2,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,66.0,298896698,14103790,True,True,False,False,False,False,True,29,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,83.1,15091852,45320455,False,True,False,False,False,False,True,27,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,98.7,161583116,38186924,False,True,False,True,True,True,True,21,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,49.3,259677760,24269393,False,False,False,False,True,False,True,12,2,5,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,95.6,24112969,398648,False,True,False,False,False,True,False,8,2,3,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,22.0,240362426,5230189,True,True,False,True,True,False,True,12,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,75.9,293018301,28825237,False,False,False,False,False,False,False,24,2,3,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,42.6,156459246,2309818,True,False,False,False,False,True,True,27,2,6,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,84.0,16816300,10767349,False,False,False,False,False,False,False,26,2,3,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,94.9,133375839,28098220,False,False,False,False,False,False,True,20,2,5,8,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,48.6,166326611,21815571,False,True,False,False,False,True,True,34,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,True,78.8,153585781,17411031,False,False,True,False,False,False,False,33,1,5,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,True,52.4,177626449,34941464,False,True,False,False,False,False,True,25,1,5,10,41.5,0
연남공공원룸텔,여성,False,False,서울,False,False,False,35.5,11855786,11152213,True,True,False,True,False,False,True,36,2,9,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,87.1,93652134,29357870,False,True,False,False,False,False,True,27,2,8,8,41.5,1
연남공공원룸텔,여성,False,False,서울,False,False,False,76.8,29678231,47118264,False,False,True,False,False,False,True,29,3,8,8,41.5,1
